| kind | epoch | fold | iteration | loss |
| train | 0 | 6 | 4999 | 2.160584580421448 | 
| train | 0 | 6 | 5099 | 2.1601274487785265 | 
| train | 0 | 6 | 5199 | 2.1610070933745456 | 
| train | 0 | 6 | 5299 | 2.160059051941026 | 
| train | 0 | 6 | 5399 | 2.1602083080565486 | 
| train | 0 | 6 | 5499 | 2.1601170282363893 | 
| train | 0 | 6 | 5599 | 2.160646552826677 | 
| train | 0 | 6 | 5699 | 2.1610172047740535 | 
| train | 0 | 6 | 5799 | 2.1609043197385196 | 
| train | 0 | 6 | 5899 | 2.1606382920176297 | 
| train | 0 | 6 | 5999 | 2.1603045947949093 | 
| train | 0 | 6 | --- | 2.1601840107863275 | 
| val | 0 | 6 | --- | 2.0419795513153076 | 
| train | 0 | 7 | 99 | 2.2594911563396454 | 
| train | 0 | 7 | 199 | 2.195759590268135 | 
| train | 0 | 7 | 299 | 2.1946850999196372 | 
| train | 0 | 7 | 399 | 2.1943358793854713 | 
| train | 0 | 7 | 499 | 2.1960689301490786 | 
| train | 0 | 7 | 599 | 2.187619059284528 | 
| train | 0 | 7 | 699 | 2.1763180957521713 | 
| train | 0 | 7 | 799 | 2.1695208138227464 | 
| train | 0 | 7 | 899 | 2.169394319322374 | 
| train | 0 | 7 | 999 | 2.171706088781357 | 
| train | 0 | 7 | 1099 | 2.1672198682481594 | 
| train | 0 | 7 | 1199 | 2.1653193646669386 | 
| train | 0 | 7 | 1299 | 2.1634027126202215 | 
| train | 0 | 7 | 1399 | 2.1605512159211293 | 
| train | 0 | 7 | 1499 | 2.163636400938034 | 
| train | 0 | 7 | 1599 | 2.1624624752253294 | 
| train | 0 | 7 | 1699 | 2.1622197447804843 | 
| train | 0 | 7 | 1799 | 2.160844464302063 | 
| train | 0 | 7 | 1899 | 2.159198054828142 | 
| train | 0 | 7 | 1999 | 2.1601768758893014 | 
| train | 0 | 7 | 2099 | 2.160979492437272 | 
| train | 0 | 7 | 2199 | 2.1621252783320166 | 
| train | 0 | 7 | 2299 | 2.16251974116201 | 
| train | 0 | 7 | 2399 | 2.1619284399350485 | 
| train | 0 | 7 | 2499 | 2.1635094160079955 | 
| train | 0 | 7 | 2599 | 2.1652210173240074 | 
| train | 0 | 7 | 2699 | 2.1641967739440777 | 
| train | 0 | 7 | 2799 | 2.163206407725811 | 
| train | 0 | 7 | 2899 | 2.164483153367865 | 
| train | 0 | 7 | 2999 | 2.163189930319786 | 
| train | 0 | 7 | 3099 | 2.1653608537489366 | 
| train | 0 | 7 | 3199 | 2.166186571530998 | 
| train | 0 | 7 | 3299 | 2.166267397223097 | 
| train | 0 | 7 | 3399 | 2.166965201567201 | 
| train | 0 | 7 | 3499 | 2.166840396983283 | 
| train | 0 | 7 | 3599 | 2.1683784450425043 | 
| train | 0 | 7 | 3699 | 2.1690173944589253 | 
| train | 0 | 7 | 3799 | 2.169056988734948 | 
| train | 0 | 7 | 3899 | 2.1680520406136146 | 
| train | 0 | 7 | 3999 | 2.1694883717298508 | 
| train | 0 | 7 | 4099 | 2.169528644608288 | 
| train | 0 | 7 | 4199 | 2.17001172937098 | 
| train | 0 | 7 | 4299 | 2.169147306569787 | 
| train | 0 | 7 | 4399 | 2.169162401936271 | 
| train | 0 | 7 | 4499 | 2.168063992606269 | 
| train | 0 | 7 | 4599 | 2.16809358495733 | 
| train | 0 | 7 | 4699 | 2.1661550851071136 | 
| train | 0 | 7 | 4799 | 2.166819584170977 | 
| train | 0 | 7 | 4899 | 2.1653495081346863 | 
| train | 0 | 7 | 4999 | 2.164111395907402 | 
| train | 0 | 7 | 5099 | 2.1637870043866774 | 
| train | 0 | 7 | 5199 | 2.1646225867592372 | 
| train | 0 | 7 | 5299 | 2.1633569109889694 | 
| train | 0 | 7 | 5399 | 2.1631377561887106 | 
| train | 0 | 7 | 5499 | 2.163154705286026 | 
| train | 0 | 7 | 5599 | 2.1640491906659944 | 
